2017-06-07 17:23:16 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2017-06-07 17:23:16 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-06-07 17:23:16 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-06-07 17:23:16 install libselinux1:amd64 <none> 2.3-2
2017-06-07 17:23:16 status half-installed libselinux1:amd64 2.3-2
2017-06-07 17:23:16 status unpacked libselinux1:amd64 2.3-2
2017-06-07 17:23:16 status unpacked libselinux1:amd64 2.3-2
2017-06-07 17:23:16 install libsemanage-common:all <none> 2.3-1
2017-06-07 17:23:16 status half-installed libsemanage-common:all 2.3-1
2017-06-07 17:23:16 status unpacked libsemanage-common:all 2.3-1
2017-06-07 17:23:16 status unpacked libsemanage-common:all 2.3-1
2017-06-07 17:23:16 install libsemanage1:amd64 <none> 2.3-1+b1
2017-06-07 17:23:16 status half-installed libsemanage1:amd64 2.3-1+b1
2017-06-07 17:23:16 status unpacked libsemanage1:amd64 2.3-1+b1
2017-06-07 17:23:16 status unpacked libsemanage1:amd64 2.3-1+b1
2017-06-07 17:23:16 install libsepol1:amd64 <none> 2.3-2
2017-06-07 17:23:16 status half-installed libsepol1:amd64 2.3-2
2017-06-07 17:23:16 status unpacked libsepol1:amd64 2.3-2
2017-06-07 17:23:16 status unpacked libsepol1:amd64 2.3-2
2017-06-07 17:23:16 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2017-06-07 17:23:16 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2017-06-07 17:23:16 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-06-07 17:23:16 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-06-07 17:23:16 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2017-06-07 17:23:16 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2017-06-07 17:23:16 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-06-07 17:23:16 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-06-07 17:23:16 install libtext-wrapi18n-perl:all <none> 0.06-7
2017-06-07 17:23:16 status half-installed libtext-wrapi18n-perl:all 0.06-7
